,name,id,office,position,cars_info,cars_family_info,all_cars_sum_uah_mln,monthly_salary,all_salary,car_years,all_estate,group,group_car,group_flat,group_years
3258,Макаренко Михайло Миколайович,vulyk_16_72,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник індустріальної одпі м. харкова гу міндоходів у харківській області,Toyota Camry;;,Toyota Land Cruiser Prado;;;;;;,0.56,5788.0,11145.0,4.2,81.0,митники,medium,superlow,medium
3259,Макаренко Оксана Вікторівна,vulyk_59_76,Господарський місцевий суд,суддя господарського суду харківської області,;;,Land Rover Range Rover Evoque;Land Rover Range Rover Sport;Mitsubishi Lancer;Peugeot 107,1.66,15774.0,19659.0,7.0,325.0,суди,high,low,high
3262,Макаров Денис Валерійович,vulyk_13_199,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника дніпродзержинської об'єднаної державної податкової інспекції головного управління дфс у дніпропетровській області,Toyota Prado GX;Mitsubishi ASX;;,Mitsubishi ASX;;;,0.79,5503.0,5605.0,11.7,54.0,митники,medium,superlow,high
3267,Макарчук Михайло Андрійович,vulyk_9_71,Вищий спеціалізований суд з розгляду цивільних і кримінальних справ,"суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ, член вищої кваліфікаційної комісії суддів україни",Nissan Murano;Mitsubishi Outlander;ЗАЗ Lanos;;,ИЖ 21251;;;,0.6,28068.0,28068.0,1.8,102.0,суди,medium,superlow,superlow
3271,Маклаков Станіслав Олександрович,vulyk_19_22,Міністерство внутрішніх справ,начальник удсбез умвс у вінницькій області полковник міліції,Toyota Camry;;,Mercedes GL 450;;,0.63,5519.0,5519.0,9.5,140.0,МВС,medium,superlow,high
3274,Макойда Зеновій Миколайович,vulyk_45_9,Загальний апеляційний суд,суддя aпеляційного суду львівської області,Nissan Pathfinder;;,Nissan Pathfinder;;;;,0.46,1116.0,1116.0,34.7,382.0,суди,low,low,high
3288,Максюта Жанна Іванівна,vulyk_40_53,Загальний апеляційний суд,суддя апеляційного суду дніпропетровської області,;;,Honda CR-V;ВАЗ 21043,0.14,19514.0,19514.0,0.6,328.0,суди,low,low,superlow
3293,Малетич Михайло Михайлович,vulyk_8_101,Вищий господарський суд,суддя вищого господарського суду україни,Mercedes-Benz ML 350;;,;;,0.8,24922.0,24922.0,2.7,566.0,суди,medium,medium,medium
3311,Мальцев Дмитро Володимирович,vulyk_13_200,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника дпі у анд районі м. дніпропетровська гу міндоходів дніпропетровської області,Mercedes E300;BMW 730;Volkswagen Touareg;,;;;,1.39,927.0,3465.0,33.5,57.0,митники,high,superlow,high
3313,Маляренко Артем Васильович,vulyk_8_144,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Toyota Land Cruiser Prado;;,;;,0.56,20590.0,27501.0,1.7,142.0,суди,medium,superlow,superlow
3322,Мамалуй Олександр Олексійович,vulyk_59_77,Господарський місцевий суд,суддя господарського суду харківської області,Mercedes E280;Mercedes ML350;,Mazda CX-7;Chevrolet Lacetti;;,0.52,23410.0,36912.0,1.2,342.0,суди,medium,low,superlow
3324,Мамонтова Олена Миколаївна,vulyk_8_102,Вищий господарський суд,суддя вищого господарського суду україни,Lexus RX 300;;,;;,0.21,20350.0,20350.0,0.9,412.0,суди,low,low,superlow
3340,Маринін Олександр Вікторович,vulyk_17_34,Загальний місцевий суд,суддя бердянського міськрайонного суду запорізької області,Volkswagen Touareg;;;,;;;;,0.53,19831.0,19831.0,2.2,0.0,суди,medium,superlow,low
3353,Мартинюк Володимир Іванович,vulyk_8_145,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Honda CR-V;Toyota Venza;,Honda CR-V;Toyota Venza;,0.66,21693.0,21693.0,2.5,663.0,суди,medium,medium,medium
3364,Мартюхіна Наталя Олександрівна,vulyk_37_32,Апеляційний господарський суд,суддя донецького апеляційного господарського суду,Volkswagen Tiguan;;,Land Rover;Fiat Doblo;;;;,0.91,17419.0,19364.0,3.9,177.0,суди,medium,superlow,medium
3378,Марчак Віталій Ярославович,vulyk_33_156,Загальний апеляційний суд,суддя судової палати з розгляду кримінальних справ апеляційного суду чернівецької області,Toyota Rav 4;;;,Toyota Rav 4;;;,0.66,21286.0,21286.0,2.6,42.0,суди,medium,superlow,medium
3383,Марченко Нінель Валеріївна,vulyk_17_70,Загальний місцевий суд,заступник голови заводського районного суду м. запоріжжя,Toyota Land Cruiser Prado;;;,;;;;,0.51,19897.0,19897.0,2.1,49.0,суди,medium,superlow,medium
3386,Марченко Олександр Степанович,vulyk_10_107,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника львівської митниці дфс,BMW X6;;,;;;;,1.21,1439.0,1439.0,70.2,0.0,митники,high,superlow,high
3391,Марчук Наталія Олегівна,vulyk_8_181,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Nissan Tiida;;,Mitsubishi Outlander XL;ЛУАЗ;,0.53,23217.0,39999.0,1.1,193.0,суди,medium,superlow,superlow
3396,Маслов Василь Олексійович,vulyk_56_32,Загальний апеляційний суд,суддя апеляційного суду сумської області,Ford Focus;Москвич / АЗЛК 412;Fiat Doblo,;;,0.3,22960.0,26481.0,0.9,330.0,суди,low,low,superlow
3437,Мацібора Юрій Ігорович,vulyk_10_10,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник митного поста «дністер» вінницької митниці дфс,;;,Hyundai Tucson;Suzuki Splash;;;,0.27,8687.0,8687.0,2.5,318.0,митники,low,low,medium
3458,Мележик Неоніла Іванівна,vulyk_8_36,Вищий господарський суд,суддя вищого господарського суду україни,Lexus;Suzuki;,Daewoo;Таврия;,0.67,23742.0,30185.0,1.9,523.0,суди,medium,medium,superlow
3463,Мельник Ірина Миколаївна,vulyk_16_29,Загальний місцевий суд,суддя комінтернівського районного суду м. харкова,Toyota Land Cruiser Prado;;,Toyota Land Cruiser Prado;Mazda 6;Lexus;Volkswagen Caddy;ЗАЗ 110308-45;;,1.09,19355.0,25301.0,3.6,189.0,суди,high,superlow,medium
3467,Мельник Василь Ярославович,vulyk_27_184,Загальний місцевий суд,"суддя, голова березнівського районного суду рівненської області",Chery Tiggo;;,;;,0.11,19692.0,20498.0,0.5,340.0,суди,low,low,superlow
3468,Мельник Володимир Васильович,vulyk_51_72,Загальний апеляційний суд,суддя апеляційного суду м. києва,Toyota Camry;;;,;;;;,0.35,14319.0,21872.0,1.3,472.0,суди,low,low,superlow
3470,Мельник Дмитро Михайлович,vulyk_27_117,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника дпі у м. полтава,Kia Ceed;;,Hyundai Santa FE;Volvo 340;Kia Ceed,0.63,5322.0,5322.0,9.8,172.0,митники,medium,superlow,high
3481,Мельник Сергій Васильович,vulyk_32_194,Міністерство внутрішніх справ,начальник мгб умвс україни в хмельницькій області,Lexus RX 330;;;,Lexus RX 330;;,0.46,8647.0,8647.0,4.4,375.0,МВС,low,low,medium
3482,Мельник Сергій Михайлович,vulyk_15_64,Міністерство внутрішніх справ,заступник начальника одеського му гумвс україни в одеській області,Toyota Camry;;,;;;,0.25,10324.0,12084.0,1.8,303.0,МВС,low,low,superlow
3497,Мельничук Олена Ярославівна,vulyk_45_33,Загальний апеляційний суд,суддя апеляційного суду львівської області,Toyota Camry;;,Mercedes-Benz GL 450;;;;,0.59,22350.0,22350.0,2.2,194.0,суди,medium,superlow,medium
3498,Мельнікова Лариса Володимирівна,vulyk_56_133,Апеляційний адміністративний суд,суддя харківського апеляційного адміністративного суду,Lexus GS-250;;,;;,0.55,21131.0,21131.0,2.2,87.0,суди,medium,superlow,medium
3522,Миранюк Віталій Миколайович,vulyk_10_184,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника черкаської митниці дфс,;;,Subaru Tribeca;Volkswagen Passat;;;,0.16,5317.0,5317.0,2.4,438.0,митники,low,low,medium
3537,Мисько Василь Родіонович,vulyk_34_96,Міністерство внутрішніх справ,начальник уфзбо гумвс україни в харківській області,Subaru;;,Lexus RX 350;;,0.39,16970.0,16970.0,1.9,402.0,МВС,low,low,superlow
3541,Митражик Елла Михайлівна,vulyk_30_153,Загальний місцевий суд,суддя гусятинського районного суду тернопільської області,;;,ГАЗ 2410;Hyundai;,0.12,13313.0,17723.0,0.5,392.0,суди,low,low,superlow
3547,Михайлик Микола Миколайович,vulyk_26_185,Міністерство внутрішніх справ,начальник управління карного розшуку умвс україни в полтавській області,Volkswagen Touareg;;,;;;,0.61,8735.0,8735.0,5.8,109.0,МВС,medium,superlow,medium
3558,Михайлів Любов Володимирівна,vulyk_41_185,Загальний апеляційний суд,суддя апеляційного суду дніпропетровської області,Geely Emgrand 7;;;,Samsung SM5;;;;,0.12,21467.0,21467.0,0.5,314.0,суди,low,low,superlow
3578,Могил Сергій Костянтинович,vulyk_8_20,Вищий господарський суд,суддя вищого господарського суду україни,;;,Jeep Grand Cherokee;;,0.7,21917.0,21917.0,2.6,472.0,суди,medium,low,medium
3594,Моніч Богдан Сильвестрович,vulyk_58_167,Апеляційний адміністративний суд,суддя житомирського апеляційного адміністративного суду,ЗАЗ Славута;SsangYong Korando;,Chery QQ;;;,0.25,18705.0,27579.0,0.7,384.0,суди,low,low,superlow
3595,Мора Олег Миколайович,vulyk_51_198,Загальний місцевий суд,суддя обухівського районного суду київської області,Honda Pilot;;;,Audi Q5;;;;,0.8,13657.0,29734.0,2.2,460.0,суди,medium,low,medium
3597,Моргун Галина Леонідівна,vulyk_21_154,Загальний місцевий суд,голова володарського районного суду київської області,Chevrolet Aveo;;;,Mitsubishi Pajero Wagon;;;;,0.32,18875.0,26255.0,1.0,587.0,суди,low,medium,superlow
3601,Мороз Вікторія Олександрівна,vulyk_34_5,Загальний місцевий суд,заступник голови новодністровського міського суду чернівецької області,Lexus;;,BMW X1;;,0.62,14770.0,16666.0,3.1,1386.0,суди,medium,high,medium
3602,Мороз Микола Андрійович,vulyk_8_184,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Mercedes-Benz E200;Mercedes-Benz CLK 300 4matik;,;;,0.61,29117.0,29117.0,1.7,130.0,суди,medium,superlow,superlow
3617,Мостова Галина Іванівна,vulyk_8_146,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,суддя вищого спеціалізованого суду україни з розгляду цивільних і кримінальних справ,Porsche Cayenne;;,;;,0.31,21149.0,21149.0,1.2,313.0,суди,low,low,superlow
3622,Моцьор Олексій Володимирович,vulyk_42_58,Загальний місцевий суд,суддя варвинського районного суду чернігівської області,;;;,Subaru Legacy;;,0.15,13831.0,14157.0,0.9,442.0,суди,low,low,superlow
3644,Муратова Світлана Олександрівна,vulyk_52_26,Загальний місцевий суд,"суддя, заступник голови київського районного суду м. харкова",Chrysler PT Cruiser;,Chrysler PT Cruiser;Toyota Sequoia;Mercedes-Benz E 260;BMW X6 XDrive 35i,1.41,17446.0,28701.0,4.1,369.0,суди,high,low,medium
3656,Мухін Анатолій Володимирович,vulyk_56_58,Загальний місцевий суд,суддя жовтневого районного суду м. запоріжжя,Volkswagen Touareg;;,;;,0.53,21537.0,21537.0,2.1,107.0,суди,medium,superlow,medium
3679,Мінаєв Ігор Миколайович,vulyk_37_58,Загальний місцевий суд,суддя слов'янського міськрайонного суду донецької області,;;,Skoda Octavia;;;;;,0.19,17116.0,21039.0,0.7,321.0,суди,low,low,superlow
3681,Мінаєва Ольга Михайлівна,vulyk_56_134,Апеляційний адміністративний суд,суддя харківського апеляційного адміністративного суду,;;,Audi Q5;ГАЗ М 21;,0.47,18639.0,38350.0,1.0,414.0,суди,low,low,superlow
3685,Мінів Ольга Ігорівна,vulyk_33_187,Загальний місцевий суд,суддя кіцманського районного суду чернівецької області,Honda CR-V;;;,Nissan Micra;;;,0.1,13742.0,22886.0,0.4,309.0,суди,low,low,superlow
3697,Міцней Володимир Федорович,vulyk_33_132,Загальний апеляційний суд,заступник голови апеляційного суду чернівецької області,Mitsubishi Outlander;;;,Mitsubishi Outlander;;;,0.56,21385.0,26820.0,1.8,406.0,суди,medium,low,superlow
3707,Міщенко Юрій Анатолійович,vulyk_39_36,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника сумської митниці дфс,Kia Mohave;;;;;;;;;;;,;;;;,0.29,5920.0,5920.0,4.1,473.0,митники,low,low,medium
3708,Міщук Ярослав Геннадійович,vulyk_31_134,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника кременецької одпі гу дфс у тернопільській області,Volkswagen Caddy;;;,BMW 540;Mitsubishi;ВАЗ Нива 2121,0.25,5161.0,5161.0,4.0,536.0,митники,low,medium,medium
3709,Міщій Олександр Ярославович,vulyk_45_79,Загальний апеляційний суд,заступник голови апеляційного суду тернопільської області,Nissan TIIDA;Audi 80;,;;;;,0.15,21119.0,24339.0,0.5,388.0,суди,low,low,superlow
3711,Наваляний Тарас Данилович,vulyk_12_44,Загальний місцевий суд,суддя ковельського міскрайонного суду волинської області,;;;,Volkswagen Touareg;Mitsubishi Carisma;,0.54,18999.0,18999.0,2.4,241.0,суди,medium,superlow,medium
3724,Назарко Олег Миколайович,vulyk_10_133,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника митного поста одеса-аеропорт одеської митниці дфс,Toyota Prado;;,Lexus RX-350;Subaru Forester;;;,0.61,7353.0,11228.0,4.6,107.0,митники,medium,superlow,medium
3740,Насіров Роман Михайлович,chesno_2297,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,голова державної фіскальної служби,Toyota Camry;Lexus LX 570;;;,Land Rover Range Rover;;;;,1.45,396420.0,398575.0,0.3,572.0,митники,high,medium,superlow
3748,Наумова Ірина Йосипівна,vulyk_44_47,Загальний місцевий суд,суддя комунарського районного суду м. запоріжжя,Toyota Rav 4;Mazda 6;ЗАЗ-11022,;;,0.49,20122.0,25175.0,1.6,514.0,суди,low,medium,superlow
3754,Невідома Тетяна Олексіївна,vulyk_51_23,Загальний апеляційний суд,суддя апеляційного суду міста києва,Volkswagen Tiguan;;;,Toyota Fj;;;;,0.99,22232.0,49399.0,1.7,486.0,суди,medium,low,superlow
3759,Нежура Вадим Анатолійович,vulyk_9_22,Загальний апеляційний суд,суддя апеляційного суду м. києва,Volkswagen Jetta;;;,Mitsubishi Outlander;;;;,0.35,19427.0,19427.0,1.5,337.0,суди,low,low,superlow
3766,Немцов Микола Миколайович,vulyk_33_72,Міністерство внутрішніх справ,начальник управління по боротьбі з організованною злочинністю умвс україни в чернівецькій області,Volkswagen;;;,;;;,0.55,8286.0,8286.0,5.6,0.0,МВС,medium,superlow,low
3779,Нестеренко Тетяна Василівна,vulyk_57_12,Загальний місцевий суд,суддя якимівського районного суду запорізької області,;;;,Chevrolet Lacetti;ЗАЗ 1102 Таврия;;,0.1,17213.0,20493.0,0.4,378.0,суди,low,low,superlow
3789,Нечипуренко Олександр Михайлович,vulyk_57_110,Апеляційний господарський суд,суддя запорізького окружного адміністративного суду,;;;,Toyota Rav 4;Volvo 740;;,0.3,21222.0,21222.0,1.2,951.0,суди,low,medium,superlow
3830,Ніколайчук Світлана Василівна,vulyk_41_76,Адміністративний місцевий суд,суддя дніпропетровського окружного адміністративного суду,Lexus RX 350;;;,;;;;,0.56,15241.0,15241.0,3.1,216.0,суди,medium,superlow,medium
3833,Ніколенко Михайло Олександрович,vulyk_41_25,Господарський місцевий суд,суддя господарського суду дніпропетровської області,Mercedes-Benz ML 250;Lexus RX 350;Nissan Sunny;Mitsubishi L 200,Mercedes-Benz ML 250;;;;,1.87,15101.0,16601.0,9.4,125.0,суди,high,superlow,high
3864,Овсянніков Владислав Сергійович,vulyk_15_191,Загальний місцевий суд,суддя дергачівського районного суду харківської області,Audi Q5;;,Audi A3 sportback;;;,0.71,14875.0,22212.0,2.6,445.0,суди,medium,low,medium
3872,Огоновський Андрій Романович,vulyk_18_173,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника дпі у шевченківському р-ні м. львова головного управліняя міндоходів у львівській області,Skoda Octavia A7;;,Nissan Micra;Volkswagen Tiguan;,0.53,4088.0,4088.0,10.8,596.0,митники,medium,medium,high
3874,Огородник Анатолій Петрович,vulyk_51_160,Адміністративний місцевий суд,суддя чернівецького окружного адміністративного суду,;;;,Toyota Avensis;;;;,0.14,23488.0,28290.0,0.4,582.0,суди,low,medium,superlow
3883,Озерянська Світлана Іванівна,vulyk_41_77,Адміністративний місцевий суд,суддя дніпропетровського окружного адміністративного суду,Toyota Land Cruiser Prado;Toyota Land Cruiser Prado;;,;;;;,0.54,15160.0,30619.0,1.5,225.0,суди,medium,superlow,superlow
3889,Оксентюк Василь Никифорович,vulyk_59_151,Загальний апеляційний суд,суддя апеляційного суду волинської області,Mercedes-Benz E-300;;,Mercedes-Benz E-190;;;,0.06,22109.0,24803.0,0.2,353.0,суди,superlow,low,superlow
3891,Окунь Володимир Валентинович,vulyk_27_107,Міністерство внутрішніх справ,заступник начальника кременчуцького мв умвс україни в полтавській області,Volkswagen Tiguan;ВАЗ Нива;,Volkswagen Tiguan;ВАЗ Нива;,0.59,6445.0,10487.0,4.7,51.0,МВС,medium,superlow,medium
3908,Ольховський Віктор Іванович,vulyk_25_26,Міністерство внутрішніх справ,начальник гу мвс україни в запорізький області,;;;,Lexus;;;,0.33,11833.0,43500.0,0.6,603.0,МВС,low,medium,superlow
3912,Олійник Валентина Миколаївна,vulyk_11_114,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника немирівської одпі гу міндоходів у вінницькій області,Hyundai Accent;Daewoo Lanos;,;;;,0.18,5904.0,12810.0,1.2,330.0,митники,low,low,superlow
3948,Онопенко Василь Васильович,vulyk_56_193,Верховний суд,суддя верховного суду украіни,Audi A8;;,;;,0.92,45464.0,47575.0,1.6,706.0,суди,medium,medium,superlow
3954,Оніщук Максим Іванович,vulyk_51_25,Загальний апеляційний суд,суддя апеляційного суду м. києва,Toyota FJ Cruiser;;;,Skoda Fabia Elegans;Mercedes-Benz ML 350;;;,1.23,18194.0,18194.0,5.6,317.0,суди,high,low,medium
3958,Оприск Зорян Леонович,vulyk_17_198,Загальний місцевий суд,суддя жовківського районного суду львівської області,Opel Vectra;Subaru Forester;;,Opel Vectra;Volvo XC70;Subaru Forester;;,0.46,15526.0,15526.0,2.5,857.0,суди,low,medium,medium
3963,Ореховська Кристина Едуардівна,vulyk_28_59,Загальний місцевий суд,суддя рівненського міського суду,Daihatsu Materia;Toyota Heilyx;;;;,Toyota Camry;;;,0.55,17022.0,27172.0,1.7,131.0,суди,medium,superlow,superlow
3966,Орлов Ігор Володимирович,vulyk_42_46,Загальний апеляційний суд,суддя апеляційного суду луганської області,Nissan TIIDA;;;,Nissan TIIDA;;,0.21,20595.0,20595.0,0.9,488.0,суди,low,low,superlow
3981,Остапенко Вікторія Олександрівна,vulyk_41_186,Загальний апеляційний суд,суддя апеляційного суду дніпропетровської області,Nissan TIIDA;;;,Toyota Land Cruiser;;;;,0.1,19948.0,39846.0,0.2,392.0,суди,low,low,superlow
3984,Остапов Володимир Костянтинович,vulyk_16_50,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника – начальник оперативного управління дпі у дзержинському районі м. харкова гу дфс у харківській області,Volkswagen Touareg;;,;;;;;;,0.53,2773.0,2773.0,16.0,89.0,митники,medium,superlow,high
3985,Остапук Віктор Іванович,vulyk_27_154,Загальний апеляційний суд,"суддя, заступник голови апеляційного суду рівненської області",;;,Nissan Note;;,0.13,20847.0,20847.0,0.5,356.0,суди,low,low,superlow
3986,Остапчук Валерій Васильович,vulyk_10_161,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,начальник харківської митниці дфс україни,;;,Lexus RX 350;Toyota RAV4;;;,0.99,6317.0,23138.0,3.6,666.0,митники,medium,medium,medium
3992,Остропілець Євген Романович,vulyk_15_187,Загальний місцевий суд,заступник голови дніпропетровського районного суду харківської області,Ford Kuga;Mercedes-Benz S;,Ford Fiesta;Ford Kuga;Mercedes S;,0.75,20287.0,21587.0,2.9,471.0,суди,medium,low,medium
4005,Охрімчук Ірина Григорівна,vulyk_58_77,Апеляційний адміністративний суд,суддя житомирського апеляційного адміністративного суду,Daewoo Lanos;Toyota Corolla;,Kia Sportage;;;,0.43,20015.0,31493.0,1.1,482.0,суди,low,low,superlow
4021,Павленко Вадим Петрович,vulyk_22_42,Міністерство внутрішніх справ,начальник бородянського рв гумвс україни в київської області,Mitsubishi Lancer;ВАЗ 2103,Renault Master;Volkswagen Passat B6;,0.42,6850.0,18413.0,1.9,469.0,МВС,low,low,superlow
4040,Павлюк Ірина Юріївна,vulyk_55_156,Апеляційний господарський суд,суддя рівненського апеляційного господарського суду,Subaru Impreza;Porsche Cayenne,УАЗ 31512;;,0.83,16622.0,28084.0,2.5,752.0,суди,medium,medium,medium
4053,Пайонкевич Тадей Тадейович,vulyk_44_192,Загальний апеляційний суд,суддя апеляційного суду львівської області,Mitsubishi Outlander;;,Skoda Fabia;;,0.21,24010.0,45351.0,0.4,497.0,суди,low,low,superlow
4059,Паламарчук Валерій Васильович,vulyk_45_174,Господарський місцевий суд,суддя господарського суду полтавської області,Honda CR-V;Toyota Auris;,Honda CR-V;Toyota Auris;;;,0.72,17061.0,17061.0,3.5,152.0,суди,medium,superlow,medium
4066,Палькова Валентина Миколаївна,vulyk_43_183,Загальний апеляційний суд,суддя апеляційного суду херсонської області,Toyota Yaris;;,;;,0.11,22817.0,22817.0,0.4,390.0,суди,low,low,superlow
4079,Панаід Ігор Васильович,vulyk_58_6,Загальний місцевий суд,суддя чугуївського міського суду харківської області,Kia Cerato;Honda CR-V;,Kia Cerato;Honda CR-V;;,0.56,15092.0,17664.0,2.6,108.0,суди,medium,superlow,medium
4083,Панова Ірина Юріївна,vulyk_8_76,Вищий господарський суд,суддя,BMW 320;Toyota Rav 4;,;;,0.76,23218.0,23218.0,2.7,66.0,суди,medium,superlow,medium
4085,Панталієнко Петро Васильович,vulyk_56_173,Верховний суд,суддя верховного суду україни,Honda CR-V;;,Volkswagen Touareg;;,0.75,26531.0,26531.0,2.4,289.0,суди,medium,superlow,medium
4098,Панчук Ігор Валерійович,vulyk_11_108,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника могилів-подільської одпі гу міндоходів у вінницькій області,Toyota;Fiat Doblo;,Honda CR-V;;;,0.18,4724.0,4724.0,3.2,475.0,митники,low,low,medium
4105,Паращук Василь Васильович,vulyk_33_76,Міністерство внутрішніх справ,начальник вбнон умвс україни в чернівецькій області,ВАЗ 2106;;;,Volkswagen Transporter;Mitsubishi Outlander;;,0.14,6983.0,11475.0,1.0,444.0,МВС,low,low,superlow
4107,Парнищева Тетяна Григорівна,vulyk_37_142,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,заступник начальника маріупольської одпі гу міндоходів у донецькій області,Toyota Yaris;;,;;;;;,0.09,6864.0,6864.0,1.1,363.0,митники,superlow,low,superlow
4126,Паскал Василь Федорович,vulyk_25_18,Міністерство внутрішніх справ,заступник міністра внутрішніх справ україни,Skoda Octavia A5;;;,Mitsubishi Pajero Wagon;Mercedes-Benz GL 550;Niva Chevrolet;Niva Chevrolet,1.1,14722.0,19729.0,4.6,779.0,МВС,high,medium,medium
4139,Патрюк Микола Васильович,vulyk_9_74,Верховний суд,"суддя верховного суду україни, заступник голови вищої кваліфікаційної комісії суддів україни",Ford Focus;;;;,;;;,0.1,28722.0,28722.0,0.3,570.0,суди,low,medium,superlow
4143,Пахомов Валерій Анатолійович,vulyk_34_83,Міністерство внутрішніх справ,начальник умз гумвс україни в харківській області,;;,Honda Pilot;Honda C;Mazda CX-7,0.73,15197.0,31159.0,1.9,118.0,МВС,medium,superlow,superlow
4144,Пацкан Василь Васильович,vulyk_21_17,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,виконуючий обов'язки начальника - перший заступник начальника ужгородської одпі гу дфс у закарпатській області,Toyota;;;,Subaru;;;;,0.81,4038.0,8060.0,8.4,518.0,митники,medium,medium,high
4160,Пеньков Сергій Володимирович,vulyk_13_108,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,перший заступник начальника головного управління державної фіскальної служби у дніпропетровській області,Toyota Camry;;;,Lexus RX 450;;;,0.62,16059.0,17595.0,2.9,109.0,митники,medium,superlow,medium
4162,Пеняк Іван Іванович,vulyk_20_156,Міністерство внутрішніх справ,Начальник Управління Державної служби боротьби з економічною злочинністю УМВС України в Закарпатській області,Skoda Fabia;Skoda Superb;Honda Accord;,Skoda Fabia;Skoda Superb;Honda Accord;,1.0,8680.0,8680.0,9.6,584.0,МВС,high,medium,high
4163,Пепеляшков Олексій Степанович,vulyk_15_144,Загальний місцевий суд,суддя суворівського районного суду м. одеси,Fiat Cinquecento;;,SsangYong Kyron;;;,0.29,16940.0,16940.0,1.4,423.0,суди,low,low,superlow
4168,Переверзєв Сергій Володимирович,vulyk_19_182,Загальний місцевий суд,суддя барського районного суду вінницької області,Kia Magentis;ВАЗ 21213;,Opel Ascona;;,0.18,19691.0,21990.0,0.7,377.0,суди,low,low,superlow
4180,Перцова Тетяна Сергіївна,vulyk_56_136,Апеляційний адміністративний суд,суддя харківського апеляційного адміністративного суду,;;,Mitsubishi L200;Toyota Land Cruiser;Nissan Patrol,0.37,17480.0,21629.0,1.4,307.0,суди,low,low,superlow
4186,Петренко Ігор Васильович,vulyk_41_29,Господарський місцевий суд,суддя господарського суду дніпропетровської області,BYD S6;;;,Nissan Teana;;;;,0.37,19892.0,40939.0,0.7,1871.0,суди,low,high,superlow
4191,Петренко Наталія Едуардівна,vulyk_41_30,Господарський місцевий суд,суддя господарського суду дніпропетровської області,Nissan Teana;;;,BYD S6;;;;,0.37,19466.0,40940.0,0.7,1871.0,суди,low,high,superlow
4194,Петрик Ігор Ярославович,vulyk_21_43,Міністерство внутрішніх справ,начальник вдсбез умвс україни на львівській залізниці,Daewoo Lanos;;;,Mitsubishi Galant;;;;,0.19,6207.0,6207.0,2.5,505.0,МВС,low,medium,medium
4197,Петрова Валентина Іванівна,vulyk_41_31,Господарський місцевий суд,суддя господарського суду дніпропетровської області,Toyota Rav 4;;;,Toyota Highlander;;;;,0.73,19395.0,29881.0,2.0,164.0,суди,medium,superlow,medium
4199,Петрова Ліма Миколаївна,vulyk_26_74,Адміністративний місцевий суд,суддя полтавського окружного адміністративного суду,Infiniti FX;;,Land Rover Range Rover;;;,0.68,15014.0,17826.0,3.2,26.0,суди,medium,superlow,medium
